Last raw reading: 604	Time since start: 1975028microseconds
Last raw reading: 658	Time since start: 1980028microseconds
Last raw reading: 539	Time since start: 1985028microseconds
Last raw reading: 550	Time since start: 1990028microseconds
Last raw reading: 625	Time since start: 1995028microseconds
Last raw reading: 564	Time since start: 2000028microseconds
Last raw reading: 613	Time since start: 2005028microseconds
Last raw reading: 635	Time since start: 2010028microseconds
Last raw reading: 612	Time since start: 2015028microseconds
Last raw reading: 610	Time since start: 2020028microseconds
Last raw reading: 606	Time since start: 2025028microseconds
Last raw reading: 620	Time since start: 2030028microseconds
Last raw reading: 511	Time since start: 2035028microseconds
Last raw reading: 584	Time since start: 2040028microseconds
Last raw reading: 727	Time since start: 2045028microseconds
Last raw reading: 680	Time since start: 2050028microseconds
Last raw reading: 665	Time since start: 2055028microseconds
Last raw reading: 696	Time since start: 2060028microseconds
Last raw reading: 613	Time since start: 2065028microseconds
Last raw reading: 680	Time since start: 2070029microseconds
Last raw reading: 825	Time since start: 2075029microseconds
Last raw reading: 806	Time since start: 2080029microseconds
Last raw reading: 815	Time since start: 2085029microseconds
Last raw reading: 811	Time since start: 2090029microseconds
Last raw reading: 779	Time since start: 2095029microseconds
Last raw reading: 834	Time since start: 2100029microseconds
Last raw reading: 865	Time since start: 2105029microseconds
Last raw reading: 851	Time since start: 2110029microseconds
Last raw reading: 844	Time since start: 2115029microseconds
Last raw reading: 818	Time since start: 2120029microseconds
Last raw reading: 821	Time since start: 2125029microseconds
Last raw reading: 836	Time since start: 2130029microseconds
Last raw reading: 832	Time since start: 2135029microseconds
Last raw reading: 805	Time since start: 2140029microseconds
Last raw reading: 770	Time since start: 2145029microseconds
Last raw reading: 804	Time since start: 2150029microseconds
Last raw reading: 833	Time since start: 2155029microseconds
Last raw reading: 830	Time since start: 2160029microseconds
Last raw reading: 785	Time since start: 2165029microseconds
Last raw reading: 758	Time since start: 2170029microseconds
Last raw reading: 775	Time since start: 2175029microseconds
Last raw reading: 799	Time since start: 2180029microseconds
Last raw reading: 818	Time since start: 2185029microseconds
Last raw reading: 787	Time since start: 2190029microseconds
Last raw reading: 713	Time since start: 2195029microseconds
Last raw reading: 787	Time since start: 2200029microseconds
Last raw reading: 745	Time since start: 2205029microseconds
Last raw reading: 777	Time since start: 2210029microseconds
Last raw reading: 815	Time since start: 2215029microseconds
Last raw reading: 777	Time since start: 2220029microseconds
Last raw reading: 753	Time since start: 2225029microseconds
Last raw reading: 742	Time since start: 2230030microseconds
Last raw reading: 714	Time since start: 2235030microseconds
Last raw reading: 675	Time since start: 2240030microseconds
Last raw reading: 705	Time since start: 2245030microseconds
Last raw reading: 692	Time since start: 2250030microseconds
Last raw reading: 622	Time since start: 2255030microseconds
Last raw reading: 681	Time since start: 2260030microseconds
